"id_net";"sector";"d_agr";"d_altro";"d_comm";"d_ind";"d_serv";"d_tur";"d_multi";"sett_code"
815;"5";0;0;0;0;1;0;0;5
816;"4--5";0;0;0;0;0;0;1;7
817;"3";0;0;1;0;0;0;0;3
818;"1";1;0;0;0;0;0;0;1
819;"1--4";0;0;0;0;0;0;1;7
820;"1";1;0;0;0;0;0;0;1
821;"4";0;0;0;1;0;0;0;4
822;"4";0;0;0;1;0;0;0;4
823;"1";1;0;0;0;0;0;0;1
824;"4";0;0;0;1;0;0;0;4
825;"3";0;0;1;0;0;0;0;3
826;"5";0;0;0;0;1;0;0;5
827;"5";0;0;0;0;1;0;0;5
828;"4";0;0;0;1;0;0;0;4
829;"1";1;0;0;0;0;0;0;1
